epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9926,2.04787,3.4102,1.70382,0.02733,0.55405,0.03179,0.01597,1.25629,3.43734,1.31911,0.00024,0.00024,0.00024
2,109.98,1.71313,2.27498,1.35338,0.79207,0.69495,0.79013,0.30982,1.37411,2.50904,1.22353,0.0004901,0.0004901,0.0004901
3,155.661,1.52508,1.67084,1.21922,0.77497,0.79116,0.82053,0.47049,1.56097,1.72399,1.16941,0.000729904,0.000729904,0.000729904
4,200.672,1.60332,1.56449,1.23848,0.73844,0.7973,0.85314,0.52562,1.39225,1.39256,1.16281,0.000959412,0.000959412,0.000959412
5,249.322,1.41662,1.52411,1.14192,0.73907,0.85135,0.82328,0.55884,1.21394,1.11873,1.01238,0.00117862,0.00117862,0.00117862
6,297.927,1.36215,1.34657,1.10792,0.73843,0.86486,0.84152,0.60522,1.0818,1.02417,0.9908,0.00138754,0.00138754,0.00138754
7,345.902,1.39965,1.35243,1.11307,0.74752,0.74019,0.7884,0.57049,1.03137,1.08133,0.98365,0.00158616,0.00158616,0.00158616
8,393.698,1.36197,1.28419,1.08874,0.69619,0.77703,0.79352,0.54545,1.10325,1.06628,0.98722,0.0017228,0.0017228,0.0017228
9,446.513,1.33159,1.32377,1.08881,0.5661,0.78378,0.73858,0.50305,1.09452,1.21402,1.01504,0.0016832,0.0016832,0.0016832
10,498.473,1.30894,1.30446,1.07424,0.56644,0.67568,0.6749,0.45075,1.083,1.31024,1.01454,0.0016436,0.0016436,0.0016436
11,552.534,1.31102,1.2792,1.08769,0.66545,0.80638,0.77924,0.57654,1.01155,1.26157,0.99087,0.001604,0.001604,0.001604
12,611.166,1.26468,1.2475,1.075,0.6757,0.80247,0.79522,0.59081,0.99893,1.20745,0.97274,0.0015644,0.0015644,0.0015644
13,662.835,1.23847,1.21401,1.06506,0.72481,0.76525,0.81772,0.61542,0.95895,1.09831,0.96174,0.0015248,0.0015248,0.0015248
14,712.161,1.22827,1.17279,1.05396,0.76686,0.80011,0.86331,0.64077,0.97964,1.01409,0.96783,0.0014852,0.0014852,0.0014852
15,763.202,1.25961,1.19915,1.06923,0.77975,0.85135,0.89761,0.64732,1.12684,0.94782,0.98857,0.0014456,0.0014456,0.0014456
16,814.135,1.29491,1.20268,1.07472,0.77093,0.89189,0.91246,0.69861,0.95507,0.90972,0.9492,0.001406,0.001406,0.001406
17,864.097,1.25401,1.15721,1.0576,0.81086,0.86486,0.90353,0.67844,0.96214,0.971,0.96503,0.0013664,0.0013664,0.0013664
18,914.322,1.22986,1.15334,1.0502,0.84159,0.84459,0.90433,0.66564,0.9992,0.99135,0.96947,0.0013268,0.0013268,0.0013268
19,964.168,1.16046,1.0883,1.03455,0.75098,0.93732,0.88976,0.68376,0.88907,0.88803,0.95529,0.0012872,0.0012872,0.0012872
20,1015.46,1.1481,1.08329,1.03405,0.77095,0.93241,0.91683,0.70112,0.85713,0.844,0.935,0.0012476,0.0012476,0.0012476
21,1068.3,1.19194,1.07081,1.04434,0.83424,0.85017,0.91285,0.7003,0.90008,0.86477,0.93844,0.001208,0.001208,0.001208
22,1118.17,1.20844,1.09798,1.02334,0.82176,0.87162,0.90972,0.68019,0.96248,0.837,0.94823,0.0011684,0.0011684,0.0011684
23,1168.04,1.14976,1.0735,1.01653,0.73673,0.82432,0.8222,0.45535,1.32459,1.14337,1.03553,0.0011288,0.0011288,0.0011288
24,1218.5,1.16261,1.03978,1.02838,0.57093,0.80019,0.65371,0.32864,1.45222,1.42783,1.08414,0.0010892,0.0010892,0.0010892
25,1268.92,1.15906,1.06646,1.02516,0.69937,0.88514,0.84421,0.60876,0.944,1.00716,0.9621,0.0010496,0.0010496,0.0010496
26,1318.87,1.1411,1.04475,1.02595,0.79805,0.85444,0.89449,0.67494,0.897,0.89397,0.94704,0.00101,0.00101,0.00101
27,1368.16,1.11899,1.01966,1.018,0.80492,0.87838,0.90435,0.67365,0.90653,0.88963,0.95351,0.0009704,0.0009704,0.0009704
28,1418.63,1.14035,1.02225,1.02524,0.80441,0.89189,0.91029,0.67461,0.9219,0.85817,0.95535,0.0009308,0.0009308,0.0009308
29,1468.54,1.08866,0.99276,0.99669,0.81459,0.89865,0.9073,0.68286,0.88924,0.84255,0.95106,0.0008912,0.0008912,0.0008912
30,1518.41,1.14536,1.01506,1.01619,0.81428,0.85914,0.89242,0.6575,0.90377,0.88543,0.95626,0.0008516,0.0008516,0.0008516
31,1568.63,1.0497,0.93573,0.99325,0.79411,0.80789,0.86339,0.56882,1.13653,0.9818,1.02165,0.000812,0.000812,0.000812
32,1617.86,1.07662,0.97955,0.99678,0.75633,0.86486,0.86367,0.58354,1.11082,0.96078,1.01774,0.0007724,0.0007724,0.0007724
33,1668.72,1.04801,0.92908,0.98947,0.75924,0.8736,0.88967,0.70127,0.80278,0.84557,0.93079,0.0007328,0.0007328,0.0007328
34,1719.26,1.03018,0.93305,0.97089,0.81602,0.81081,0.89663,0.71771,0.78498,0.83892,0.92595,0.0006932,0.0006932,0.0006932
35,1769.09,1.08055,0.9617,0.98971,0.73201,0.86743,0.88853,0.64997,0.95613,0.88605,0.96863,0.0006536,0.0006536,0.0006536
36,1819.28,1.03222,0.89465,0.97075,0.76934,0.86486,0.88302,0.64897,0.97958,0.87021,0.97042,0.000614,0.000614,0.000614
37,1872.27,1.05998,0.92123,0.97851,0.78534,0.88993,0.88556,0.67482,0.92459,0.84908,0.95881,0.0005744,0.0005744,0.0005744
38,1925,1.04757,0.90288,0.99095,0.77155,0.88997,0.86803,0.66854,0.86459,0.8508,0.95148,0.0005348,0.0005348,0.0005348
39,1977.93,1.01719,0.91304,0.97831,0.76124,0.86171,0.85936,0.65086,0.87311,0.89694,0.95606,0.0004952,0.0004952,0.0004952
40,2030.05,1.01055,0.90327,0.97513,0.77114,0.86512,0.87818,0.69406,0.80243,0.86627,0.93181,0.0004556,0.0004556,0.0004556
41,2078.32,1.00828,0.91594,0.98531,0.82398,0.87838,0.90038,0.72714,0.75772,0.80407,0.90777,0.000416,0.000416,0.000416
42,2125.23,0.99918,0.87513,0.96742,0.83257,0.87359,0.90672,0.72653,0.78236,0.78092,0.90644,0.0003764,0.0003764,0.0003764
43,2171.42,0.9696,0.88078,0.95452,0.8228,0.86486,0.91168,0.71294,0.83643,0.76802,0.9145,0.0003368,0.0003368,0.0003368
44,2218.02,0.91513,0.82831,0.94071,0.79956,0.89189,0.89588,0.68356,0.90086,0.82296,0.93565,0.0002972,0.0002972,0.0002972
45,2264.07,0.91375,0.82278,0.94041,0.78569,0.89189,0.88954,0.67401,0.92278,0.85369,0.94392,0.0002576,0.0002576,0.0002576
46,2310.45,0.91194,0.84193,0.94527,0.77516,0.8852,0.88788,0.67884,0.87264,0.84369,0.93593,0.000218,0.000218,0.000218
47,2357.02,0.94567,0.80321,0.94571,0.77723,0.88514,0.89699,0.68939,0.84297,0.803,0.92936,0.0001784,0.0001784,0.0001784
48,2403.07,0.92896,0.83041,0.94923,0.80686,0.85811,0.89818,0.69281,0.83867,0.79614,0.92769,0.0001388,0.0001388,0.0001388
49,2449.1,0.89122,0.80301,0.94031,0.82255,0.84568,0.90137,0.69591,0.84489,0.78916,0.929,9.92e-05,9.92e-05,9.92e-05
50,2495.32,0.9451,0.83781,0.95127,0.81774,0.84459,0.90305,0.69576,0.84914,0.78398,0.92993,5.96e-05,5.96e-05,5.96e-05
